heavy_atom_idx,degree,hybridization,in_ring,is_aromatic,formal_charge,partial_charge,num_H_neighbors,num_heavy_neighbors,neighbor_atomic_nums,neighbor_C_count,neighbor_O_count,neighbor_N_count,neighbor_S_count,neighbor_Halogen_count,dist_to_O,dist_to_N,dist_to_aromatic,in_symmetric_env,ppm,nb_atoms,multiplicity,couplings
10,3,SP2,1,1,0,-0.06192711598379428,1,2,"6,6",2,0,0,0,0,6,4,1,30,128.57999999999998,2,s,[]
11,3,SP2,1,1,0,-0.057252129506016186,1,2,"6,6",2,0,0,0,0,5,3,1,32,128.3,2,s,[]
12,3,SP2,0,0,0,0.227076676715995,0,3,"7,8,6",1,1,1,0,0,1,1,2,26,169.5,1,s,[]
14,4,SP3,0,0,0,0.05722105839618845,2,2,"6,6",2,0,0,0,0,2,2,1,40,31.7,1,s,[]
15,3,SP2,1,1,0,0.026832684587136658,0,3,"6,6,6",3,0,0,0,0,2,2,1,34,112.6,1,s,[]
16,3,SP2,1,1,0,0.137121759799522,0,3,"6,6,8",2,1,0,0,0,1,2,1,28,167.2,1,s,[]
17,4,SP3,0,0,0,-0.0030286392449317048,3,1,6,1,0,0,0,0,2,3,1,39,11.0,1,s,[]
20,3,SP2,1,1,0,0.0843931758867423,0,3,"7,6,6",2,0,1,0,0,2,1,1,27,160.8,1,s,[]
21,4,SP3,0,0,0,-0.018412106801443118,3,1,6,1,0,0,0,0,3,2,1,38,10.2,1,s,[]
1,4,SP3,0,0,0,0.10361834168050556,1,3,"7,6,6",2,0,1,0,0,2,1,-1,38,55.4,1,s,[]
2,4,SP3,0,0,0,-0.018354319257747248,2,2,"6,6",2,0,0,0,0,3,2,-1,39,27.615,1,s,[]
3,4,SP3,0,0,0,0.028536294080960586,2,2,"6,6",2,0,0,0,0,2,2,-1,36,36.45,1,s,[]
4,3,SP2,0,0,0,0.22024445048576471,0,3,"6,8,7",1,1,1,0,0,1,1,-1,28,172.0,1,s,[]
7,4,SP3,0,0,0,0.1177856627617527,1,3,"7,6,6",2,0,1,0,0,2,1,-1,37,53.06,1,s,[]
8,4,SP3,0,0,0,0.040210429737665816,2,2,"6,16",1,0,0,1,0,3,2,-1,35,35.510000000000005,1,s,[]
14,3,SP2,0,0,0,0.24347034315047694,0,3,"6,8,7",1,1,1,0,0,1,1,-1,29,173.95,1,s,[]
17,4,SP3,0,0,0,0.11544484572467585,2,2,"7,6",1,0,1,0,0,2,1,-1,34,41.25,1,s,[]
18,3,SP2,0,0,0,0.32247070705086944,0,3,"6,8,8",1,2,0,0,0,1,2,-1,27,171.65,1,s,[]
21,3,SP2,0,0,0,0.3199828456635874,0,3,"6,8,8",1,2,0,0,0,1,2,-1,30,174.8,1,s,[]
0,4,SP3,0,0,0,-0.004318119764038843,3,1,6,1,0,0,0,0,2,3,-1,10,29.9,1,s,[]
1,3,SP2,0,0,0,0.1428301229420154,0,3,"6,8,6",2,1,0,0,0,1,2,-1,8,206.4,1,s,[]
3,4,SP3,0,0,0,0.051782979666587785,2,2,"6,7",1,0,1,0,0,2,1,-1,11,42.8,1,s,[]
0,4,SP3,0,0,0,-0.039771937793026374,3,1,6,1,0,0,0,0,-1,5,1,44,21.4,1,s,[]
1,3,SP2,1,1,0,-0.05097945275543197,0,3,"6,6,6",3,0,0,0,0,-1,4,1,39,136.195,1,s,[]
2,3,SP2,1,1,0,-0.05717790569595144,1,2,"6,6",2,0,0,0,0,-1,3,1,31,130.1,2,s,[]
